date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:09	47081/47081	---M-Z	200	added ('OK')	text/html	etag:%22b7e9-61255b4e2568b-gzip%22	https://www.residentevil.com/village/en-asia/	E:/Httracks/FYP/www.residentevil.com/village/en-asia/index.html	(from )
02:56:09	1737/1737	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%221314-612452212d261%22	https://www.residentevil.com/robots.txt		(from )
02:56:11	2728/2728	---M-Z	200	added ('OK')	text/css	etag:%22aa8-619f5084f89ae-gzip%22	https://www.capcom-games.com/common/css/reset.css	E:/Httracks/FYP/www.capcom-games.com/common/css/reset.css	(from https://www.residentevil.com/village/en-asia/)
02:56:11	694081/694081	---M--	200	added ('OK')	image/png	etag:%22a9741-61255b4dedfcf%22	https://www.residentevil.com/village/assets/images/common/icon.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/icon.png	(from https://www.residentevil.com/village/en-asia/)
02:56:11	3300/3300	---M-Z	200	added ('OK')	text/css	etag:%22ce4-619f5084f8d96-gzip%22	https://www.capcom-games.com/common/css/titlefooter.css	E:/Httracks/FYP/www.capcom-games.com/common/css/titlefooter.css	(from https://www.residentevil.com/village/en-asia/)
02:56:13	27560/27560	---M-Z	200	added ('OK')	text/css	etag:%226ba8-61255b4daec12-gzip%22	https://www.residentevil.com/village/assets/css/library.css	E:/Httracks/FYP/www.residentevil.com/village/assets/css/library.css	(from https://www.residentevil.com/village/en-asia/)
02:56:14	75811/75811	---M-Z	200	added ('OK')	text/css	etag:%2212823-61255b4daf3e2-gzip%22	https://www.residentevil.com/village/assets/css/page/top.css	E:/Httracks/FYP/www.residentevil.com/village/assets/css/page/top.css	(from https://www.residentevil.com/village/en-asia/)
02:56:14	76491/76491	---M-Z	200	added ('OK')	text/css	etag:%2212acb-61255b4daf3e2-gzip%22	https://www.residentevil.com/village/assets/css/style.css	E:/Httracks/FYP/www.residentevil.com/village/assets/css/style.css	(from https://www.residentevil.com/village/en-asia/)
02:56:15	35629/35629	---M-Z	200	added ('OK')	text/css	etag:%228b2d-61255b4daeffa-gzip%22	https://www.residentevil.com/village/assets/css/local.css	E:/Httracks/FYP/www.residentevil.com/village/assets/css/local.css	(from https://www.residentevil.com/village/en-asia/)
02:56:16	18492/18492	---M-Z	200	added ('OK')	text/css	etag:%22483c-61255b4daf3e2-gzip%22	https://www.residentevil.com/village/assets/css/state.css	E:/Httracks/FYP/www.residentevil.com/village/assets/css/state.css	(from https://www.residentevil.com/village/en-asia/)
02:56:16	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	E:/Httracks/FYP/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://www.residentevil.com/village/en-asia/)
02:56:16	527496/527496	---M--	200	added ('OK')	image/png	etag:%2280c88-61255b4df1297%22	https://www.residentevil.com/village/assets/images/common/share.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/share.png	(from https://www.residentevil.com/village/en-asia/)
02:56:17	170660/170660	---M-Z	200	added ('OK')	application/javascript	etag:%2229aa4-61255b4e223c3-gzip%22	https://www.residentevil.com/village/assets/js/library.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/library.js	(from https://www.residentevil.com/village/en-asia/)
02:56:18	2348/2348	---M-Z	200	added ('OK')	application/javascript	etag:%2292c-61255b4e21fdb-gzip%22	https://www.residentevil.com/village/assets/js/gtm.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/gtm.js	(from https://www.residentevil.com/village/en-asia/)
02:56:19	2030/2030	---M-Z	200	added ('OK')	application/javascript	etag:%227ee-61255b4e21fdb-gzip%22	https://www.residentevil.com/village/assets/js/inc.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/inc.js	(from https://www.residentevil.com/village/en-asia/)
02:56:20	26978/26978	---M-Z	200	added ('OK')	application/javascript	etag:%226962-61255b4e21fdb-gzip%22	https://www.residentevil.com/village/assets/js/config.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/config.js	(from https://www.residentevil.com/village/en-asia/)
02:56:21	13900/13900	---M-Z	200	added ('OK')	application/javascript	etag:%22364c-61255b4e227ab-gzip%22	https://www.residentevil.com/village/assets/js/shaderProgram.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/shaderProgram.js	(from https://www.residentevil.com/village/en-asia/)
02:56:22	46477/46477	---M-Z	200	added ('OK')	application/javascript	etag:%22b58d-61255b4e223c3-gzip%22	https://www.residentevil.com/village/assets/js/page/top.js	E:/Httracks/FYP/www.residentevil.com/village/assets/js/page/top.js	(from https://www.residentevil.com/village/en-asia/)
02:56:23	109792/109792	---M--	200	added ('OK')	image/png	etag:%221ace0-61255b4deeb87%22	https://www.residentevil.com/village/assets/images/common/logo.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/logo.png	(from https://www.residentevil.com/village/en-asia/)
02:56:24	13172/13172	---M-Z	200	added ('OK')	text/html	etag:%223374-61255b4e25e5b-gzip%22	https://www.residentevil.com/village/en-asia/topics/psvr2/	E:/Httracks/FYP/www.residentevil.com/village/en-asia/topics/psvr2/index.html	(from https://www.residentevil.com/village/en-asia/)
02:56:24	5925/5925	---M--	200	added ('OK')	image/png	etag:%221725-61255b4def73f%22	https://www.residentevil.com/village/assets/images/common/psvr2_logo.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/psvr2_logo.png	(from https://www.residentevil.com/village/en-asia/)
02:56:25	62158/62158	---M--	200	added ('OK')	image/png	etag:%22f2ce-61255b4dee79f%22	https://www.residentevil.com/village/assets/images/common/logo-vrmode.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/logo-vrmode.png	(from https://www.residentevil.com/village/en-asia/)
02:56:26	51191/51191	---M--	200	added ('OK')	image/jpeg	etag:%22c7f7-61255b4df06df%22	https://www.residentevil.com/village/assets/images/common/reversebtn_bg.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/reversebtn_bg.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:27	102554/102554	---M--	200	added ('OK')	image/png	etag:%221909a-61255b4df02f7%22	https://www.residentevil.com/village/assets/images/common/reverse_logo.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/reverse_logo.png	(from https://www.residentevil.com/village/en-asia/)
02:56:28	204716/204716	---M--	200	added ('OK')	image/jpeg	etag:%2231fac-61255b4df1e4f%22	https://www.residentevil.com/village/assets/images/common/vrmode_bg.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/vrmode_bg.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:28	157254/157254	---M--	200	added ('OK')	image/png	etag:%2226646-61255b4dee3b7%22	https://www.residentevil.com/village/assets/images/common/logo-ge.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/logo-ge.png	(from https://www.residentevil.com/village/en-asia/)
02:56:29	203648/203648	---M--	200	added ('OK')	image/jpeg	etag:%2231b80-61255b4dec85e%22	https://www.residentevil.com/village/assets/images/common/ge_bg.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/ge_bg.jpg	(from https://www.residentevil.com/village/en-asia/)
02:56:29	4818/4818	---M--	200	added ('OK')	image/png	etag:%2212d2-61255b4deb4d6%22	https://www.residentevil.com/village/assets/images/common/award/2021steam-goty.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/award/2021steam-goty.png	(from https://www.residentevil.com/village/en-asia/)
02:56:29	20113/20113	---M--	200	added ('OK')	image/png	etag:%224e91-61255b4deb8be%22	https://www.residentevil.com/village/assets/images/common/award/pspa2023-special.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/award/pspa2023-special.png	(from https://www.residentevil.com/village/en-asia/)
02:56:30	8372/8372	---M--	200	added ('OK')	image/png	etag:%2220b4-61255b4deb4d6%22	https://www.residentevil.com/village/assets/images/common/award/2021ps4-goty.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/award/2021ps4-goty.png	(from https://www.residentevil.com/village/en-asia/)
02:56:31	8066/8066	---M--	200	added ('OK')	image/png	etag:%221f82-61255b4deb4d6%22	https://www.residentevil.com/village/assets/images/common/award/2021ps5-goty.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/award/2021ps5-goty.png	(from https://www.residentevil.com/village/en-asia/)
02:56:31	25513/25513	---M--	200	added ('OK')	image/png	etag:%2263a9-61255b4deb4d6%22	https://www.residentevil.com/village/assets/images/common/award/gja2021-ugoty.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/common/award/gja2021-ugoty.png	(from https://www.residentevil.com/village/en-asia/)
02:56:31	3989/3989	---M--	200	added ('OK')	image/png	etag:%22f95-61255b4e154ba%22	https://www.residentevil.com/village/assets/images/topics/psupgrade_logo.png	E:/Httracks/FYP/www.residentevil.com/village/assets/images/topics/psupgrade_logo.png	(from https://www.residentevil.com/village/en-asia/)
02:56:32	28915/28915	---M--	200	added ('OK')	image/jpeg	etag:%2270f3-61255b4de7656%22	https://www.residentevil.com/village/assets/images/about_img01.jpg	E:/Httracks/FYP/www.residentevil.com/village/assets/images/about_img01.jpg	(from https://www.residentevil.com/village/en-asia/)
